Device,Uptime,MemFree                                
G-120G-E,42,2316                 
G-140W-F,42,26237                 
G-140W-G,42,104524                 
G-120W-F,42,107396                 
G-140W-H,42,213331                 
G-240G-E,42,115863                 
G-240W-F,42,113067                 
G-240G-E,42,53620                 
G-240W-L,43,107048                 
G-240W-J,43,159289                 
G-040W-B,43,132140                 
G-240W-G,43,250573                 
G-140W-H,43,180221                 
XS-250X-A,43,183881                 
G-120G-E,42,2316                 
G-140W-F,42,26237                 
G-140W-G,42,104524                 
G-120W-F,42,107396                 
G-140W-H,42,213331                 
G-240G-E,42,115863                 
G-240W-F,42,113067                 
G-240G-E,42,53620                 
G-240W-L,43,107048                 
G-240W-J,43,159289                 
G-040W-B,43,132140                 
G-240W-G,43,250573                 
G-140W-H,43,180221                 
XS-250X-A,43,183881                 
G-120G-E,42,2316                 
G-140W-F,42,26237                 
G-140W-G,42,104524                 
G-120W-F,42,107396                 
G-140W-H,42,213331                 
G-240G-E,42,115863                 
G-240W-F,42,113067                 
G-240G-E,42,53620                 
G-240W-L,43,107048                 
G-240W-J,43,159289                 
G-040W-B,43,132140                 
G-240W-G,43,250573                 
G-140W-H,43,180221                 
XS-250X-A,43,183881                 
